Year,Area_harvested,Yield,Production
2000,1385455,300.1,415789
2001,1408156,278.9,392671
2002,1420957,297.1,422221
2003,1428089,301.1,430038
2004,1429515,298.3,426365
2005,1405377,331.7,466120
2006,1430796,329.9,472067
2007,1437595,320.0,460090
2008,1455009,332.0,482995
2009,1429561,355.9,508746
2010,1504000,323.0,485826
2011,1506610,341.1,513892
2012,1519900,351.6,534328
2013,1511424,376.4,568897
2014,1525801,378.3,577215
2015,1535368,382.3,586959
2016,1540448,393.4,606069
2017,1557112,413.0,643095
2018,1614053,500.9,808450
2019,1619750,495.0,801768
2020,1605494,646.9,1038656
2021,1611950,429.2,691787
2022,1651641,406.2,670838
2023,1651041,328.6,542566
